#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
5774-56002-0950 092831.29+241638.96 014 18.929 0.026 19.407 0.016 19.407 0.016 19.739 0.024 20.012 0.098 0.024 004.0 204.6 044.5 DA        024719 00416 7.455 0.057    0    0 000 00000 00000 00000 0.000 0.000 024719 7.455    0  0.000 0.44110 0.01259
5775-56009-0253 091349.50+223415.92 023 18.722 0.022 18.586 0.019 18.936 0.017 19.170 0.021 19.466 0.079 0.037 018.0 205.6 040.8 DA        018628 00143 7.923 0.026  -13   10 021 00352 00368 00241 0.581 0.012 018628 7.923    0  0.000 0.58067 0.00862
5776-56010-0004 090759.99+223232.39 015 18.466 0.019 19.170 0.021 19.170 0.021 19.464 0.025 19.666 0.079 0.038 009.4 205.1 039.5 DA        033123 00285 7.437 0.065    0    0 000 00000 00000 00000 0.000 0.000 033123 7.437    0  0.000 0.47269 0.01052
5776-56010-0182 090437.33+225438.53 038 17.495 0.020 17.302 0.009 17.492 0.014 17.016 0.015 16.415 0.020 0.026 034.9 204.4 038.9 DA+M      020044 00105 7.736 0.017    0    0 000 00000 00000 00000 0.000 0.000 020044 7.736    0  0.000 0.52135 0.00279
5776-56010-0270 090258.22+230640.33 037 17.572 0.023 17.283 0.020 17.469 0.015 17.693 0.014 17.936 0.026 0.027 024.4 204.0 038.6 DA        013430 00081 8.431 0.016   61    6 034 00109 00107 00067 0.865 0.010 013512 8.404   82 -0.027 0.84800 0.00691
5776-56010-0468 085854.13+230632.93 019 18.725 0.028 18.873 0.018 19.293 0.021 19.570 0.027 19.813 0.081 0.026 011.9 203.6 037.7 DA        027296 00248 7.725 0.039   31   14 017 01380 00707 00432 0.524 0.004 027296 7.725    0  0.000 0.52376 0.00316
5776-56010-0606 085955.88+234648.99 026 18.110 0.020 18.342 0.018 18.786 0.016 19.146 0.021 19.421 0.077 0.025 011.5 202.9 038.1 DA        030151 00137 7.937 0.031   49   12 024 00086 00535 00330 0.613 0.014 030151 7.937    0  0.000 0.61297 0.01004
5776-56010-0610 090023.91+234353.20 024 17.943 0.015 18.456 0.018 19.030 0.019 19.442 0.021 19.789 0.084 0.025 011.7 203.0 038.2 DA        054709 01215 7.307 0.070   13   27 022 00000 01480 00915 0.522 0.004 054709 7.307    0  0.000 0.52156 0.00224
5776-56010-0940 090624.87+233232.89 015 18.789 0.020 19.112 0.016 19.112 0.016 19.414 0.022 19.594 0.062 0.033 000.3 203.7 039.4 DA        020681 00199 8.195 0.033    0    0 000 00000 00000 00000 0.000 0.000 020681 8.195    0  0.000 0.72443 0.01392
5777-56280-0298 091618.48+243917.48 041 17.670 0.016 17.441 0.023 17.751 0.017 17.991 0.021 18.242 0.027 0.028 102.0 203.2 041.9 DA        016620 00070 7.956 0.015   35    5 037 00111 00198 00132 0.592 0.007 016620 7.956    0  0.000 0.59237 0.00527
5777-56280-0420 091419.25+245649.57 008 20.444 0.055 20.017 0.019 19.836 0.025 19.815 0.029 19.849 0.103 0.040 017.5 202.6 041.6 DA        006947 00106 7.853 0.209   26   17 007 00332 00194 00129 0.523 0.097 006945 7.791   -2 -0.062 0.49769 0.06611
5777-56280-0642 091507.87+253041.37 037 17.310 0.014 17.752 0.020 18.281 0.013 18.674 0.019 18.972 0.045 0.029 015.2 201.9 041.9 DA        080000 10000 7.109 0.500    0    0 000 00000 00000 00000 0.000 0.000 080000 7.109    0  0.000 0.52240 0.04434
5777-56280-0882 092002.21+260120.07 008 20.629 0.060 20.148 0.023 20.088 0.026 20.114 0.033 19.912 0.125 0.023 016.8 201.6 043.1 DA        007827 00098 8.077 0.196    2   19 007 00164 00230 00157 0.638 0.113 007821 7.926   -6 -0.151 0.55486 0.06831
5779-56338-0214 091235.61+265828.44 057 16.075 0.015 16.463 0.017 16.971 0.016 17.344 0.013 17.677 0.019 0.026 032.9 199.9 041.7 DA        054305 00515 7.916 0.030    5   12 054 01988 00352 00234 0.650 0.011 054305 7.916    0  0.000 0.65013 0.00805
5779-56338-0398 090917.62+272839.74 017 19.360 0.027 19.198 0.014 19.512 0.021 19.745 0.024 20.000 0.082 0.023 035.6 199.0 041.1 DA        016607 00174 8.066 0.036   67   16 014 00061 00405 00266 0.650 0.019 016607 8.066    0  0.000 0.65008 0.01352
5779-56338-0524 090709.10+280228.30 021 19.011 0.034 18.797 0.016 19.103 0.018 19.349 0.020 19.644 0.059 0.024 012.0 198.1 040.8 DA        016966 00161 8.007 0.034   44   13 017 00137 00358 00234 0.619 0.017 016966 8.007    0  0.000 0.61940 0.01231
5779-56338-0551 090626.71+283606.87 052 16.697 0.014 16.683 0.019 17.084 0.013 17.368 0.016 17.686 0.024 0.024 056.1 197.3 040.7 DA        021324 00082 8.040 0.012   42    4 048 00055 00168 00109 0.646 0.006 021324 8.040    0  0.000 0.64554 0.00433
5780-56274-0214 090204.62+260814.20 019 18.739 0.020 18.881 0.018 19.224 0.016 19.224 0.018 19.026 0.037 0.030 019.0 200.2 039.2 DA+M      026744 00310 7.985 0.046    0    0 000 00000 00000 00000 0.000 0.000 026744 7.985    0  0.000 0.62889 0.01544
5780-56274-0560 085650.55+275117.68 020 18.757 0.021 18.633 0.016 18.925 0.017 19.222 0.021 19.351 0.060 0.027 055.8 197.7 038.5 DA        019844 00238 7.815 0.039  122   14 016 01625 00431 00268 0.533 0.013 019844 7.815    0  0.000 0.53310 0.00961
5781-56337-0214 090636.20+285132.67 052 16.907 0.023 16.608 0.030 16.891 0.025 17.185 0.016 17.449 0.027 0.025 059.0 197.0 040.8 DA        015274 00047 8.089 0.010   63    4 047 00030 00116 00076 0.660 0.005 015274 8.089    0  0.000 0.66045 0.00384
5781-56337-0484 090024.39+291830.71 028 17.800 0.024 17.955 0.023 18.377 0.020 18.702 0.018 18.944 0.042 0.025 028.5 196.1 039.6 DA        027165 00158 7.981 0.025    2   10 025 00598 00384 00245 0.628 0.012 027165 7.981    0  0.000 0.62776 0.00836
5781-56337-0528 090116.65+301035.14 033 17.410 0.022 17.857 0.019 18.369 0.015 18.769 0.019 19.126 0.039 0.021 015.0 195.0 040.0 DA        066079 01348 7.482 0.080  -21   25 030 00000 01093 00702 0.541 0.021 066079 7.482    0  0.000 0.54082 0.01026
5781-56337-0944 090937.01+304319.41 039 17.445 0.018 17.550 0.019 17.923 0.020 18.188 0.019 18.484 0.039 0.021 025.3 194.8 041.8 DA        024168 00136 8.418 0.018    7    7 034 00817 00206 00137 0.869 0.011 024168 8.418    0  0.000 0.86913 0.00789
5781-56337-0960 091003.67+301957.29 014 19.461 0.037 19.210 0.024 19.471 0.021 19.766 0.026 19.813 0.061 0.020 015.9 195.3 041.8 DA        015890 00262 7.843 0.058    8   20 011 00187 00456 00303 0.535 0.020 015890 7.843    0  0.000 0.53535 0.01506
5782-56272-0096 095826.42+183604.78 026 18.374 0.018 18.318 0.020 18.642 0.017 18.885 0.019 18.948 0.036 0.022 035.5 215.7 049.4 DA        020712 00199 7.491 0.032   53    9 023 00000 00483 00367 0.435 0.015 020712 7.491    0  0.000 0.43486 0.00748
5782-56272-0260 095442.85+183908.78 008 20.757 0.022 20.048 0.031 20.048 0.031 20.040 0.031 20.000 0.105 0.025 003.7 215.1 048.6 DA        007666 00102 8.084 0.152    0    0 000 00000 00000 00000 0.000 0.000 007662 7.952   -4 -0.132 0.56881 0.05281
5782-56272-0398 095244.21+191531.88 020 19.168 0.024 18.938 0.034 19.229 0.017 19.477 0.024 19.854 0.074 0.026 015.7 214.0 048.4 DA        017433 00157 7.961 0.032  -14   12 017 00815 00403 00301 0.597 0.016 017433 7.961    0  0.000 0.59676 0.01123
5782-56272-0884 095732.66+195028.00 022 19.008 0.025 19.110 0.014 19.110 0.014 19.394 0.020 19.597 0.057 0.022 001.5 213.7 049.7 DA        016183 00162 8.236 0.032    0    0 000 00000 00000 00000 0.000 0.000 016183 8.236    0  0.000 0.74615 0.01696
5783-56017-0240 094557.22+191110.42 006 20.749 0.062 20.266 0.028 20.134 0.027 20.128 0.032 20.107 0.086 0.017 021.8 213.3 046.9 DA        007825 00113 7.652 0.218  121   20 006 00184 00310 00226 0.440 0.085 007819 7.480   -6 -0.172 0.37060 0.05581
5783-56017-0762 094533.01+194812.06 023 18.728 0.022 19.127 0.021 19.127 0.021 19.447 0.031 19.758 0.068 0.018 008.7 212.4 047.0 DA        022312 00220 7.981 0.031    0    0 000 00000 00000 00000 0.000 0.000 022312 7.981    0  0.000 0.61761 0.01063
5783-56017-0768 094538.63+193446.84 008 20.746 0.057 20.353 0.025 20.217 0.022 20.239 0.028 20.205 0.089 0.020 050.8 212.7 046.9 DA        007668 00091 7.610 0.193   68   16 007 00019 00318 00232 0.421 0.079 007663 7.452   -5 -0.158 0.36048 0.04842
5783-56017-0776 094559.68+193241.67 021 19.071 0.022 19.039 0.019 19.364 0.018 19.667 0.021 19.845 0.068 0.023 026.7 212.8 047.0 DA        020488 00196 7.869 0.030   35   12 019 00293 00520 00380 0.559 0.014 020488 7.869    0  0.000 0.55925 0.00975
5784-56029-0402 095711.61+195816.21 016 19.185 0.033 18.995 0.023 19.292 0.020 19.543 0.020 20.000 0.073 0.021 013.2 213.5 049.6 DA        017878 00233 7.828 0.044   69   17 013 00852 00464 00353 0.534 0.015 017878 7.828    0  0.000 0.53380 0.01110
5784-56029-0522 095503.14+214455.55 022 17.916 0.039 18.320 0.020 18.830 0.019 19.206 0.021 19.411 0.065 0.025 019.8 210.7 049.7 DA        051920 01318 7.502 0.074   71   30 021 00148 01141 00870 0.524 0.001 051920 7.502    0  0.000 0.52382 0.00085
5785-56269-0075 095424.48+212325.54 006 21.173 0.067 20.745 0.029 20.635 0.033 20.667 0.042 20.585 0.127 0.029 017.3 211.1 049.4 DA        007259 00134 8.053 0.254   39   25 005 00530 00263 00200 0.623 0.138 007257 7.966   -2 -0.087 0.57505 0.09105
5785-56269-0138 095253.01+204331.95 025 18.944 0.025 18.829 0.016 19.171 0.016 19.417 0.021 19.841 0.076 0.022 013.6 211.9 048.9 DA        018247 00134 7.931 0.026   36   10 022 00373 00411 00310 0.584 0.012 018247 7.931    0  0.000 0.58365 0.00870
5785-56269-0624 094822.89+225325.87 032 18.446 0.025 18.103 0.025 18.376 0.018 18.595 0.026 18.885 0.038 0.029 022.7 208.3 048.5 DA        014770 00125 8.355 0.020   64    8 027 00000 00182 00136 0.819 0.012 014770 8.355    0  0.000 0.81865 0.00870
5785-56269-0712 094951.50+220954.55 008 20.777 0.063 20.344 0.026 20.126 0.030 20.125 0.031 19.996 0.080 0.025 080.8 209.5 048.7 DA        006855 00104 7.841 0.220   54   18 007 00250 00222 00166 0.522 0.102 006854 7.788   -1 -0.053 0.49579 0.06982
5785-56269-0732 094944.39+215908.74 014 17.925 0.020 18.855 0.017 18.855 0.017 19.197 0.019 19.338 0.059 0.028 009.8 209.8 048.6 DA        080000 10000 7.641 0.500    0    0 000 00000 00000 00000 0.000 0.000 080000 7.641    0  0.000 0.60976 0.09052
5785-56269-0832 095146.86+224144.66 038 18.143 0.022 17.907 0.017 18.232 0.017 18.523 0.019 18.783 0.035 0.024 104.7 208.9 049.2 DA        017001 00078 7.870 0.016  160    6 033 00013 00265 00201 0.551 0.007 017001 7.870    0  0.000 0.55079 0.00529
5785-56269-0856 095236.90+212919.16 006 21.336 0.097 20.881 0.032 20.726 0.036 20.717 0.047 20.703 1.043 0.023 064.0 210.8 049.1 DA        007215 00157 8.721 0.238   58   32 005 00203 00169 00127 1.023 0.127 007213 8.644   -2 -0.077 0.99114 0.09490
5786-56251-0182 094235.01+205208.43 030 18.383 0.025 18.425 0.025 18.812 0.013 19.063 0.019 19.242 0.049 0.026 013.9 210.6 046.7 DAH       022280 00558 8.000 1.000    0    0 000 00000 00000 00000 0.000 0.000 022280 8.000    0  0.000 0.62707 0.31315
5786-56251-0728 094058.28+215721.91 007 20.921 0.062 20.457 0.035 20.212 0.026 20.194 0.031 20.058 0.097 0.023 050.7 209.0 046.6 DA        006826 00090 6.843 0.187   20   16 007 00143 00471 00342 0.207 0.030 006824 6.675   -2 -0.168 0.18141 0.01397
5786-56251-0804 094240.34+214742.44 006 21.096 0.073 20.643 0.025 20.510 0.041 20.505 0.046 20.153 0.188 0.021 088.9 209.3 047.0 DA        007364 00153 8.719 0.246   24   31 005 00089 00157 00115 1.022 0.131 007362 8.627   -2 -0.092 0.98112 0.09905
5787-56254-0584 095017.77+240008.41 027 18.547 0.025 18.382 0.015 18.707 0.019 18.956 0.019 19.178 0.049 0.024 026.3 206.9 049.2 DA        017566 00110 8.047 0.022   52    9 023 00067 00296 00224 0.642 0.012 017566 8.047    0  0.000 0.64170 0.00814
5787-56254-0631 095056.73+234028.45 047 17.000 0.025 17.421 0.025 17.421 0.025 17.693 0.020 17.977 0.021 0.028 004.1 207.4 049.3 DA        023455 00102 8.148 0.014    0    0 000 00000 00000 00000 0.000 0.000 023455 8.148    0  0.000 0.70749 0.00424
5787-56254-0760 095403.59+242048.12 012 20.240 0.044 19.655 0.022 19.515 0.022 19.481 0.023 19.566 0.067 0.026 024.4 206.7 050.2 DA        007329 00063 7.901 0.139   36   11 011 00001 00181 00139 0.540 0.065 007326 7.799   -3 -0.102 0.50339 0.04172
5787-56254-0824 095502.74+235823.57 017 19.601 0.035 19.325 0.020 19.586 0.020 19.738 0.026 20.013 0.116 0.026 033.4 207.3 050.3 DA        014778 00218 7.953 0.043   39   15 014 00109 00411 00316 0.587 0.022 014778 7.953    0  0.000 0.58656 0.01522
5787-56254-0944 095820.98+243802.24 029 18.080 0.023 17.978 0.021 18.301 0.017 18.588 0.022 18.884 0.038 0.037 030.5 206.6 051.2 DA        019564 00127 8.111 0.022   61    9 026 00026 00255 00199 0.680 0.012 019564 8.111    0  0.000 0.68014 0.00848
5788-56255-0151 094520.43+232618.74 027 17.947 0.028 18.500 0.010 24.802 3.760 24.362 3.830 19.146 0.092 0.026 008.7 207.3 048.0 DA        029453 00143 7.332 0.031    0    0 000 00000 00000 00000 0.000 0.000 029453 7.332    0  0.000 0.42105 0.00783
5788-56255-0182 094458.28+231649.74 031 17.997 0.017 17.757 0.027 17.993 0.039 18.285 0.015 18.603 0.038 0.029 029.3 207.5 047.9 DA        016933 00089 7.998 0.019   50    7 028 00606 00223 00166 0.615 0.010 016933 7.998    0  0.000 0.61472 0.00681
5788-56255-0302 094249.28+231519.35 031 17.966 0.020 17.818 0.020 18.155 0.016 18.415 0.023 18.752 0.040 0.027 013.9 207.3 047.4 DA        018067 00096 8.198 0.018   28    7 028 00280 00213 00157 0.722 0.010 018067 8.198    0  0.000 0.72183 0.00746
5788-56255-0956 094747.42+244413.63 014 19.104 0.014 19.447 0.024 19.447 0.024 19.678 0.029 19.845 0.084 0.025 008.7 205.6 048.9 DA        023798 00346 7.517 0.047    0    0 000 00000 00000 00000 0.000 0.000 023798 7.517    0  0.000 0.45770 0.00947
5789-56246-0302 093402.79+225937.47 036 17.474 0.018 17.181 0.018 17.425 0.020 17.675 0.017 17.922 0.024 0.030 045.4 206.9 045.4 DA        014935 00085 7.995 0.016   61    6 033 00235 00154 00110 0.609 0.008 014935 7.995    0  0.000 0.60896 0.00582
5789-56246-0402 093202.37+222040.24 015 18.690 0.022 18.717 0.028 19.136 0.018 19.486 0.025 19.902 0.096 0.020 029.7 207.6 044.8 DA        024981 00380 8.133 0.051   75   20 013 01217 00460 00324 0.703 0.024 024981 8.133    0  0.000 0.70294 0.01738
5789-56246-0429 093124.12+230757.32 014 00.000 0.000 00.000 0.000 00.000 0.000 00.000 0.000 00.000 0.000 0.000 000.0 000.0 000.0 DA        011602 00118 8.404 0.050    0    0 000 00000 00000 00000 0.000 0.000 011558 8.250  -44 -0.154 0.74837 0.02374
5789-56246-0936 093839.80+234951.32 010 20.221 0.043 19.684 0.020 19.604 0.018 19.576 0.025 19.623 0.098 0.023 046.2 206.1 046.6 DA        007552 00074 8.124 0.157   34   14 009 00070 00170 00123 0.665 0.094 007549 8.007   -3 -0.117 0.59820 0.05884
5790-56271-0104 095241.66+252159.66 065 16.120 0.012 16.158 0.011 16.560 0.019 16.890 0.012 17.147 0.017 0.023 034.0 205.0 050.1 DA        022843 00070 7.990 0.010   54    3 060 00374 00145 00111 0.623 0.005 022843 7.990    0  0.000 0.62320 0.00344
5790-56271-0648 094726.66+261602.30 063 16.740 0.012 16.564 0.011 16.911 0.014 17.244 0.021 17.534 0.019 0.018 048.6 203.3 049.1 DA        020434 00058 8.083 0.009   62    3 058 01562 00150 00113 0.667 0.005 020434 8.083    0  0.000 0.66667 0.00324
5790-56271-0712 094839.55+270424.58 010 20.413 0.059 19.886 0.027 19.758 0.023 19.760 0.029 19.924 0.131 0.019 035.0 202.1 049.6 DA        007241 00082 7.781 0.170   32   13 009 00274 00213 00162 0.494 0.074 007239 7.682   -2 -0.099 0.45054 0.05075
5790-56271-0770 094909.91+261636.66 007 20.652 0.070 20.186 0.039 20.048 0.025 20.101 0.035 19.947 0.108 0.019 072.9 203.4 049.5 DA        007180 00120 8.456 0.206   66   24 007 00424 00155 00118 0.874 0.127 007178 8.385   -2 -0.071 0.82795 0.09221
5791-56255-0130 094223.09+250120.50 031 17.791 0.029 18.298 0.018 18.298 0.018 18.596 0.023 18.928 0.039 0.020 009.8 204.7 047.7 DA        025133 00180 8.076 0.022    0    0 000 00000 00000 00000 0.000 0.000 025133 8.076    0  0.000 0.67176 0.00781
5791-56255-0758 093901.02+261835.97 006 20.998 0.094 20.559 0.032 20.437 0.036 20.561 0.057 20.273 0.161 0.018 000.0 202.6 047.3 DA:       007686 00138 8.155 0.244   68   25 005 00211 00253 00185 0.684 0.145 007682 8.023   -4 -0.132 0.60761 0.09213
5791-56255-0988 094451.07+261120.79 007 20.643 0.063 20.158 0.026 19.930 0.026 20.035 0.041 19.967 0.097 0.017 024.9 203.2 048.5 DA        007428 00118 7.989 0.234   37   20 006 00006 00218 00163 0.588 0.119 007425 7.880   -3 -0.109 0.53018 0.07957
5792-56269-0072 093109.64+254541.22 007 20.883 0.055 20.406 0.024 20.306 0.025 20.294 0.033 20.501 0.126 0.024 048.4 202.8 045.5 DAZ       007607 00117 7.857 0.212    0    0 000 00000 00000 00000 0.000 0.000 007603 7.722   -4 -0.135 0.46854 0.06281
5792-56269-0382 092435.25+250759.98 019 19.180 0.026 18.936 0.026 19.275 0.024 19.518 0.024 19.827 0.070 0.027 031.0 203.2 043.9 DA        017048 00154 8.072 0.031   53   13 016 00060 00369 00255 0.654 0.017 017048 8.072    0  0.000 0.65431 0.01168
5792-56269-0443 092334.89+250654.76 019 18.820 0.020 18.620 0.010 18.890 0.020 19.120 0.020 19.320 0.050 0.000 017.0 000.0 000.0 DA        017015 00148 8.030 0.030    0    0 000 00000 00000 00000 0.000 0.000 017015 8.030    0  0.000 0.63173 0.01099
5793-56337-0108 100134.24+334426.69 010 20.242 0.052 19.733 0.034 19.512 0.023 19.484 0.022 19.460 0.057 0.011 062.2 192.0 053.1 DA        006780 00082 7.793 0.174   -5   15 009 00208 00172 00137 0.498 0.077 006779 7.745   -1 -0.048 0.47511 0.05225
5793-56337-0140 100051.92+332642.65 021 18.420 0.027 18.813 0.017 18.813 0.017 19.163 0.018 19.450 0.052 0.011 003.7 192.5 052.9 DA        022696 00231 7.936 0.034    0    0 000 00000 00000 00000 0.000 0.000 022696 7.936    0  0.000 0.59628 0.01130
5793-56337-0352 095646.99+335033.00 029 17.848 0.014 17.682 0.021 18.001 0.015 18.293 0.018 18.619 0.033 0.011 051.8 191.8 052.1 DA        017125 00094 8.046 0.019   15    8 026 00151 00216 00171 0.640 0.010 017125 8.046    0  0.000 0.64029 0.00702
5793-56337-0872 100114.86+350509.10 039 16.312 0.019 16.694 0.020 17.198 0.012 17.577 0.012 17.899 0.027 0.009 022.4 189.8 053.0 DA        041596 00349 7.901 0.032    0   14 037 00184 00349 00279 0.620 0.013 041596 7.901    0  0.000 0.61984 0.00914
5794-56282-0066 095620.93+272729.63 044 17.525 0.013 17.238 0.015 17.504 0.014 17.758 0.019 18.031 0.024 0.019 087.5 202.0 051.3 DA        015321 00068 7.942 0.014    5    5 039 00097 00170 00132 0.582 0.007 015321 7.942    0  0.000 0.58227 0.00482
5794-56282-0102 095552.81+271102.46 025 18.691 0.022 18.338 0.030 18.621 0.013 18.897 0.017 19.100 0.056 0.018 055.9 202.4 051.2 DA        015287 00119 8.035 0.026   21   10 021 00140 00264 00206 0.631 0.014 015287 8.035    0  0.000 0.63083 0.00966
5794-56282-0408 095000.21+271641.58 024 18.667 0.026 18.636 0.021 18.927 0.018 19.160 0.019 19.399 0.048 0.021 028.8 201.9 049.9 DA        010079 00033 8.726 0.032   49    9 021 01407 00116 00089 1.027 0.017 009975 8.458 -104 -0.268 0.87893 0.01425
5794-56282-0772 095222.86+275324.93 048 17.402 0.013 17.068 0.020 17.340 0.018 17.601 0.015 17.802 0.019 0.019 077.1 201.1 050.5 DA        014659 00075 7.984 0.013   72    4 043 00123 00147 00114 0.602 0.007 014659 7.984    0  0.000 0.60241 0.00478
5795-56298-0138 094512.24+270257.84 017 18.553 0.024 18.777 0.020 19.126 0.017 19.270 0.020 19.265 0.046 0.016 017.6 202.0 048.8 DA        028456 00276 7.372 0.049    0   14 016 00000 00889 00668 0.430 0.024 028456 7.372    0  0.000 0.43050 0.01183
5795-56298-0556 093832.49+282715.36 012 19.203 0.028 19.154 0.026 19.484 0.021 19.848 0.029 20.156 0.137 0.016 016.6 199.5 047.6 DA        020145 00397 7.933 0.062   52   23 010 00137 00527 00389 0.589 0.029 020145 7.933    0  0.000 0.58900 0.02080
5795-56298-0565 093905.29+280205.03 015 19.129 0.025 19.192 0.015 19.566 0.021 19.898 0.031 20.198 0.128 0.017 029.6 200.1 047.7 DA        024768 00361 7.921 0.049   78   18 013 01654 00655 00484 0.594 0.022 024768 7.921    0  0.000 0.59376 0.01572
5795-56298-0616 093941.74+281110.90 014 18.636 0.019 19.349 0.018 19.349 0.018 19.756 0.027 20.070 0.124 0.017 007.9 199.9 047.8 DA        037174 00467 7.841 0.070    0    0 000 00000 00000 00000 0.000 0.000 037174 7.841    0  0.000 0.58527 0.01999
5795-56298-0717 094200.72+281552.37 027 18.175 0.029 18.037 0.022 18.345 0.016 18.643 0.021 18.893 0.043 0.018 024.4 199.9 048.3 DA        018313 00115 7.753 0.022   26    8 024 00285 00323 00241 0.522 0.004 018313 7.753    0  0.000 0.52151 0.00357
5795-56298-0976 094706.76+281140.10 008 20.257 0.050 19.673 0.034 19.469 0.019 19.453 0.025 19.379 0.057 0.017 051.6 200.3 049.4 DA        006557 00104 7.565 0.232  -49   17 008 00360 00181 00138 0.396 0.090 006556 7.526   -1 -0.039 0.38068 0.06244
5796-56274-0302 093248.11+270223.47 034 17.856 0.021 17.603 0.023 17.886 0.015 18.132 0.013 18.388 0.035 0.015 046.7 201.1 046.1 DA        015797 00080 7.981 0.017   32    6 031 00095 00201 00145 0.603 0.009 015797 7.981    0  0.000 0.60339 0.00616
5796-56274-0820 093457.25+274455.32 006 21.078 0.110 20.408 0.024 20.228 0.032 20.268 0.037 20.331 0.136 0.018 006.5 200.3 046.7 DA:       007631 00132 8.085 0.244  -40   23 005 00134 00242 00176 0.643 0.136 007627 7.957   -4 -0.128 0.57141 0.08741
5796-56274-0892 093648.04+280147.25 010 20.571 0.062 20.131 0.020 20.236 0.032 20.321 0.038 21.239 0.975 0.019 018.7 200.0 047.2 DA        010895 00113 8.087 0.085   63   22 008 00478 00400 00293 0.651 0.048 010793 7.881 -102 -0.206 0.53990 0.02487
5797-56273-0020 092843.87+275112.93 016 19.315 0.029 19.063 0.020 19.346 0.019 19.749 0.038 19.946 0.103 0.018 022.9 199.7 045.4 DA        015874 00215 7.883 0.045   17   17 013 00123 00421 00300 0.554 0.021 015874 7.883    0  0.000 0.55418 0.01506
5797-56273-0968 092712.02+284629.28 044 16.993 0.010 17.001 0.019 17.379 0.018 17.446 0.020 17.244 0.018 0.020 015.5 198.4 045.2 DA+M      022345 00109 7.889 0.016    0    0 000 00000 00000 00000 0.000 0.000 022345 7.889    0  0.000 0.57346 0.00504
5798-56326-0590 094304.88+351809.42 006 21.031 0.068 20.397 0.027 20.197 0.031 20.075 0.033 20.100 0.109 0.009 067.6 189.3 049.3 DA        006559 00140 7.983 0.300 -104   27 006 00136 00195 00148 0.582 0.158 006558 7.959   -1 -0.024 0.56923 0.10962
5798-56326-0913 095052.68+344815.75 023 18.620 0.020 18.529 0.017 18.882 0.015 19.170 0.022 19.456 0.047 0.010 013.8 190.2 050.9 DA        019554 00164 7.847 0.028    9   10 020 00421 00413 00320 0.547 0.012 019554 7.847    0  0.000 0.54652 0.00879
5799-56325-0093 095539.66+310940.92 034 17.968 0.015 17.618 0.022 17.837 0.020 18.080 0.023 18.334 0.028 0.018 054.3 196.1 051.7 DA        010571 00026 8.328 0.021   -3    5 031 02986 00107 00084 0.797 0.012 010461 8.071 -110 -0.257 0.64058 0.00833
5799-56325-0095 095545.98+311837.57 029 18.148 0.015 17.965 0.022 18.245 0.022 18.517 0.030 18.788 0.038 0.014 019.7 195.9 051.7 DA        016559 00104 8.246 0.021   57    8 026 00044 00204 00160 0.755 0.016 016559 8.246    0  0.000 0.75452 0.01139
5799-56325-0122 095455.11+304116.66 013 19.071 0.031 19.492 0.020 19.492 0.020 19.764 0.027 19.985 0.083 0.024 008.9 196.8 051.4 DA        023143 00444 7.827 0.057    0    0 000 00000 00000 00000 0.000 0.000 023143 7.827    0  0.000 0.54650 0.01677
5799-56325-0406 094909.30+305442.12 024 18.067 0.021 18.599 0.016 18.599 0.016 18.924 0.020 19.360 0.052 0.017 010.2 196.3 050.2 DA        027030 00196 7.887 0.032    0    0 000 00000 00000 00000 0.000 0.000 027030 7.887    0  0.000 0.58300 0.00985
5799-56325-0440 094913.84+315930.12 028 17.464 0.017 17.831 0.016 17.831 0.016 18.114 0.017 18.389 0.024 0.017 006.3 194.6 050.4 DA        022676 00144 7.882 0.020    0    0 000 00000 00000 00000 0.000 0.000 022676 7.882    0  0.000 0.57111 0.00635
5799-56325-0636 094932.64+324228.84 016 17.921 0.018 18.855 0.020 18.855 0.020 19.201 0.027 19.625 0.063 0.013 008.3 193.5 050.5 DA        059861 01889 7.438 0.128    0    0 000 00000 00000 00000 0.000 0.000 059861 7.438    0  0.008 0.00000 0.00000
5799-56325-0639 095003.35+323829.52 036 17.668 0.020 17.464 0.019 17.472 0.021 17.572 0.017 17.698 0.026 0.013 059.9 193.6 050.6 DAQ       005021 00072 7.711 0.196   79   41 034 04765 00032 00025 0.447 0.083 005020 7.712   -1  0.001 0.44693 0.05887
5799-56325-0822 095333.15+333014.27 018 18.254 0.015 18.609 0.017 19.160 0.025 19.489 0.022 19.889 0.090 0.013 010.9 192.3 051.4 DA        043246 00803 8.235 0.085   -1   40 016 01388 00663 00518 0.788 0.048 043246 8.235    0  0.000 0.78835 0.03434
5799-56325-0956 095701.09+325450.32 017 19.038 0.026 18.724 0.016 18.952 0.018 19.272 0.020 19.509 0.063 0.012 026.1 193.3 052.1 DA        015095 00162 8.009 0.035   59   14 015 00187 00316 00249 0.617 0.018 015095 8.009    0  0.000 0.61651 0.01288
5800-56279-0024 100222.49+292754.97 057 15.649 0.019 16.135 0.013 16.660 0.016 17.004 0.014 17.367 0.026 0.017 023.3 199.1 052.9 DA        070557 00897 7.628 0.055    0    0 000 00000 00000 00000 0.000 0.000 070557 7.628    0  0.009 0.00000 0.00000
