element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,"=""3950.586""","=""0.019""","=""3950.594""","=""0.011""","=""8""","=""""",,"=""35123.425""","=""37654.690""","=""3d4""","=""3F2""","=""2""","=""3d3.(2D2).4p""","=""u 3F*""","=""2""",,"=""""","=""L10989""",
Fe,1,"=""3950.795""","=""0.005""","=""3950.7921""","=""0.0022""","=""447""","=""""",,"=""51630.001""","=""54161.139""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""3951.7682""","=""0.0002""","=""3951.7679""","=""0.0009""","=""0.9""","=""""",,"=""105205.808""","=""107736.321""","=""3d6.(5D).5d""","=""6G""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c148""",
Ne,1,"=""3951.8767""","=""0.0005""","=""3951.8763""","=""0.0022""","=""12""","=""""",,"=""165828.1766""","=""168358.6202""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""""","=""L9097""",
Th,1,"=""3951.9081""","=""0.0014""","=""3951.90772""","=""0.00008""","=""3""","=""""",,"=""13088.56115""","=""15618.98461""","=""6d3.(2G).7s""","=""3G""","=""3""","=""5f.6d2.7s""","=""5H*""","=""3""",,"=""""","=""L9974""",
Xe,1,"=""3952.986""","=""0.100""","=""3953.03+""","=""0.16""","=""200""","=""""",,"=""90910.052""","=""93439.76""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""""","=""L234""",
Fe,1,"=""3954.58""","=""0.03""","=""3954.5715""","=""0.0022""","=""1580bl*""","=""""",,"=""45061.329""","=""47590.048""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""3954.58""","=""0.03""","=""3954.579""","=""0.004""","=""1580bl*""","=""""",,"=""54611.710""","=""57140.424""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""2""","=""3d6.4s.(6D).6p""","=""7F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""3954.775""","=""0.005""","=""3954.7763""","=""0.0022""","=""447""","=""""",,"=""42532.741""","=""45061.329""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,"=""""","=""L11631""",
Th,1,"=""3956.3548""","=""0.0014""","=""3956.35484""","=""0.00011""","=""3""","=""""",,"=""22877.58322""","=""25405.16237""","=""""","=""*""","=""5""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L9974""",
Ne,1,"=""3956.6317""","=""0.0004""","=""3956.6314""","=""0.0022""","=""260""","=""""",,"=""167011.5643""","=""169538.9668""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Fe,1,"=""3956.66""","=""0.03""","=""3956.671""","=""0.004""","=""33100bl""","=""""",,"=""53586.510""","=""56113.887""","=""3d7.(4F).5p""","=""5G*""","=""5""","=""3d7.(4F).6s""","=""5F""","=""5""",,"=""""","=""L11631""",
Kr,1,"=""3956.7965""","=""0.0010""","=""3956.804+""","=""0.016""","=""220*""","=""""",,"=""103121.1419""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L234""",
Kr,1,"=""3956.7965""","=""0.0010""","=""3957.2+""","=""1.6""","=""220*""","=""""",,"=""109375.2875""","=""111902.3""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).13p""","=""2[3/2]""","=""2""",,"=""""","=""L234""",
Ti,1,"=""3956.941""","=""0.019""","=""3956.931""","=""0.013""","=""13""","=""""",,"=""36000.148""","=""38527.359""","=""3d2.(1G).4s.4p.(1P*)""","=""y 1G*""","=""4""","=""3d4""","=""1G2""","=""4""",,"=""""","=""L10989""",
C,1,"=""3957.293""","=""0.003""","=""3957.2950""","=""0.0003""","=""2600""","=""5.6e+04""",B,"=""78307.64625""","=""80834.62491""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6070n""","=""L12175c183""",
Fe,2,"=""3957.842""","=""0.003""","=""3957.8458""","=""0.0016""","=""0.13""","=""""",,"=""104757.143""","=""107283.770""","=""3d6.(5D).5d""","=""6D""","=""1/2""","=""3d6.(5D).6p""","=""6D*""","=""1/2""",,"=""""","=""L18349c139""",
Kr,1,"=""3958.3566""","=""0.0010""","=""3958.3397+""","=""0.0022""","=""100""","=""""",,"=""103121.1419""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L234""",
Fe,2,"=""3958.9611""","=""0.0002""","=""3958.9614""","=""0.0009""","=""7""","=""""",,"=""104366.802""","=""106892.717""","=""3d6.(5D).5d""","=""6G""","=""13/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c148""",
Ti,1,"=""3959.841""","=""0.019""","=""3959.861""","=""0.009""","=""8""","=""""",,"=""39785.923""","=""42311.264""","=""3d3.(4F).5s""","=""f 3F""","=""4""","=""3d.4s2.4p""","=""q 3D*""","=""3""",,"=""""","=""L10989""",
