element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""4153.074""","=""0.004""","=""4153.074""","=""0.003""","=""9""","=""""",,"=""209198.6869""","=""211606.5420""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).6f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ti,1,"=""4156.22""","=""0.02""","=""4156.235""","=""0.010""","=""10""","=""""",,"=""25092.958""","=""27498.982""","=""3d3.(2F).4s""","=""3F""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""3""",,"=""""","=""L10989""",
V,1,"=""4156.3081""","=""0.0010""","=""4156.3088""","=""0.0016""","=""""","=""""",,"=""34619.598""","=""37025.579""","=""3d3.(4F).4s.4p.(1P*)""","=""v 4D*""","=""5/2""","=""3d5""","=""e 4F""","=""7/2""",,"=""""","=""L9486""",
Fe,2,"=""4156.6222""","=""0.0012""","=""4156.6215""","=""0.0014""","=""0.09""","=""""",,"=""105317.400""","=""107723.200""","=""3d6.(3P2).4d""","=""2P""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c139""",
Ar,2,"=""4157.1841""","=""0.0005""","=""4157.1843""","=""0.0007""","=""37""","=""""",,"=""200138.9307""","=""202544.4050""","=""3s2.3p4.(1D).4d""","=""2F""","=""7/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""5/2""",,"=""""","=""L11520""",
Zn,1,"=""4161.53""","=""0.03""","=""4161.532""","=""0.016""","=""31""","=""""",,"=""68579.1399""","=""70982.101""","=""3d10.4s.5d""","=""3D""","=""1""","=""3d10.4s.7p""","=""3P*""","=""1""",,"=""""","=""L18676""",
Fe,2,"=""4162.877""","=""0.002""","=""4162.8819""","=""0.0012""","=""0.05""","=""""",,"=""105123.005""","=""107525.187""","=""3d6.(3H).4d""","=""2G""","=""7/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c139""",
Th,1,"=""4163.2424""","=""0.0019""","=""4163.24165""","=""0.00012""","=""1""","=""""",,"=""23521.04909""","=""25923.02352""","=""""","=""*""","=""3""","=""6d4""","=""3H""","=""4""",,"=""""","=""L9974""",
Zn,1,"=""4164.246""","=""0.019""","=""4164.245""","=""0.016""","=""110""","=""""",,"=""68580.7053""","=""70982.101""","=""3d10.4s.5d""","=""3D""","=""2""","=""3d10.4s.7p""","=""3P*""","=""1""",,"=""""","=""L18676""",
I,1,"=""4164.593""","=""""","=""4164.593""","=""0.012""","=""14:""","=""""",,"=""75049.514""","=""77450.709""","=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""3/2""","=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""5/2""",,"=""""","=""L1505""",
Th,3,"=""4164.6725""","=""0.0023""","=""4164.6721""","=""0.0005""","=""0""","=""""",,"=""8141.74929""","=""10542.89873""","=""5f.6d""","=""3G*""","=""4""","=""6d2""","=""1G""","=""4""",,"=""""","=""L9974""",
Th,1,"=""4166.8309""","=""0.0019""","=""4166.8326""","=""0.0005""","=""1""","=""""",,"=""26997.24767""","=""29397.1521""","=""5f.6d.7s.7p""","=""5I""","=""6""","=""""","=""*""","=""5 or 6 or 7""",,"=""""","=""L9974""",
Fe,2,"=""4167.8491""","=""0.0003""","=""4167.8493""","=""0.0009""","=""0.5""","=""""",,"=""105205.808""","=""107605.127""","=""3d6.(5D).5d""","=""6G""","=""5/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c148""",
Zn,1,"=""4169.75""","=""0.03""","=""4169.75""","=""0.03""","=""46""","=""""",,"=""68579.1399""","=""70977.365""","=""3d10.4s.5d""","=""3D""","=""1""","=""3d10.4s.7p""","=""3P*""","=""0""",,"=""""","=""L18676""",
Fe,2,"=""4171.1600""","=""0.0004""","=""4171.1611""","=""0.0010""","=""0.28bl(Ne)""","=""""",,"=""105127.773""","=""107525.187""","=""3d6.(5D).5d""","=""4D""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c148""",
Th,3,"=""4171.5213""","=""0.0016""","=""4171.5214""","=""0.0005""","=""3""","=""""",,"=""5523.8809""","=""7921.08782""","=""6d.7s""","=""3D""","=""1""","=""5f.6d""","=""3D*""","=""1""",,"=""""","=""L9974""",
Th,1,"=""4172.2624""","=""0.0016""","=""4172.26178""","=""0.00005""","=""3""","=""""",,"=""8800.249723""","=""11197.031257""","=""6d3.(4F).7s""","=""5F""","=""4""","=""5f.6d.7s2""","=""3H*""","=""5""",,"=""""","=""L9974""",
Cr,1,"=""4174.448""","=""0.017""","=""4174.4494""","=""0.0016""","=""1""","=""""",,"=""31028.2590""","=""33423.7845""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""",,"=""""","=""L14866""",
Fe,2,"=""4176.8427""","=""0.0011""","=""4176.8425""","=""0.0007""","=""0.1""","=""""",,"=""105065.627""","=""107459.780""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4177.254""","=""0.005""","=""4177.2543""","=""0.0025""","=""1700""","=""""",,"=""40421.938""","=""42815.855""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,"=""""","=""L11631""",
Xe,1,"=""4178.05""","=""0.40""","=""4178.890+""","=""0.025""","=""1""","=""""",,"=""94737.121""","=""97130.101""","=""5p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""",,"=""""","=""L1975""",
Fe,1,"=""4180.605""","=""0.005""","=""4180.602""","=""0.006""","=""3980""","=""""",,"=""54124.744""","=""56516.744""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""4""","=""3d6.4s.(6D).6p""","=""7D*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4181.579""","=""0.005""","=""4181.576""","=""0.006""","=""1550""","=""""",,"=""54479.902""","=""56871.345""","=""3d6.4s.(6D).6s""","=""5D""","=""4""","=""3d6.4s.(6D).6p""","=""5P*""","=""3""",,"=""""","=""L11631""",
Xe,1,"=""4183.13""","=""0.30""","=""4182.9+""","=""1.7""","=""20""","=""""",,"=""94339.433""","=""96730.1""","=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).10f""","=""2[5/2]""","=""2""",,"=""""","=""L1975""",
Th,1,"=""4184.0820""","=""0.0014""","=""4184.08123""","=""0.00012""","=""7""","=""""",,"=""23015.15141""","=""25405.16237""","=""""","=""*""","=""5""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L9974""",
Al,1,"=""4184.125""","=""0.010""","=""4184.141+""","=""0.025""","=""3200""","=""""",,"=""38929.413""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""3/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""""","=""L10321c14""",
Al,1,"=""4184.142""","=""0.010""","=""4184.141""","=""0.010""","=""6400hfs""","=""2.01e+06""",A,"=""38929.413""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""3/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""u36,LS""","=""L10321c150""",
Al,1,"=""4184.158""","=""0.010""","=""4184.141+""","=""0.025""","=""3200""","=""""",,"=""38929.413""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""3/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""""","=""L10321c14""",
Fe,2,"=""4188.0958""","=""0.0004""","=""4188.0958""","=""0.0011""","=""0.27""","=""""",,"=""104426.460""","=""106814.180""","=""3d6.(5D).5d""","=""6F""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""5/2""",,"=""""","=""L18349c148""",
Ar,2,"=""4188.555""","=""0.005""","=""4188.550""","=""0.004""","=""5""","=""""",,"=""209198.6869""","=""211586.1480""","=""3s2.3p4.(3P).6d""","=""4P""","=""5/2""","=""3s2.3p4.(3P<1>).6f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""4191.7730""","=""0.0008""","=""4191.7726""","=""0.0007""","=""19""","=""""",,"=""201345.2925""","=""203730.9181""","=""3s2.3p4.(3P).5d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Al,1,"=""4192.041""","=""0.010""","=""4192.116+""","=""0.025""","=""2000*""","=""""",,"=""38933.968""","=""41319.398""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""7/2""",,"=""""","=""L10321c14""",
Al,1,"=""4192.07""","=""0.10""","=""4192.116""","=""0.010""","=""4500hfs""","=""2.14e+06""",A,"=""38933.968""","=""41319.398""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""7/2""",,"=""u36,LS""","=""L10321c150""",
Al,1,"=""4192.088""","=""0.010""","=""4192.116+""","=""0.025""","=""2500*""","=""""",,"=""38933.968""","=""41319.398""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""7/2""",,"=""""","=""L10321c14""",
Al,1,"=""4192.137""","=""0.010""","=""4192.130+""","=""0.025""","=""3200*""","=""""",,"=""38933.968""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""""","=""L10321c14""",
Al,1,"=""4192.17""","=""0.10""","=""4192.130""","=""0.010""","=""7200hfs""","=""1.43e+05""",B+,"=""38933.968""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""u36,LS""","=""L10321c150""",
Al,1,"=""4192.199""","=""0.010""","=""4192.130+""","=""0.025""","=""4000*""","=""""",,"=""38933.968""","=""41319.390""","=""3s2.nd""","=""y 2D""","=""5/2""","=""3s2.4f""","=""2F*""","=""5/2""",,"=""""","=""L10321c14""",
Th,2,"=""4196.1030""","=""0.0016""","=""4196.1012""","=""0.0003""","=""3""","=""""",,"=""24873.98386""","=""27257.14848""","=""6d.7s.(3D).7p""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",,"=""""","=""L9974""",
C,1,"=""4197.037""","=""0.019""","=""4197.029""","=""0.011""","=""1800""","=""9.1e+05""",C,"=""84116.1152""","=""86498.753""","=""2s2.2p.4d""","=""3P*""","=""1""","=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""T9787""","=""L9405c188""",
Fe,1,"=""4200.057""","=""0.014""","=""4200.0589""","=""0.0025""","=""830""","=""""",,"=""50703.870""","=""53084.789""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""","=""3d7.(4F).5p""","=""5F*""","=""5""",,"=""""","=""L11631""",
Th,2,"=""4200.8402""","=""0.0009""","=""4200.83960""","=""0.00021""","=""69""","=""""",,"=""7331.48541""","=""9711.96192""","=""5f.6d.(3F*).7s""","=""4F*""","=""5/2""","=""6d2.(1G).7s""","=""2G""","=""7/2""",,"=""""","=""L9974""",
Mg,1,"=""4201.264""","=""0.010""","=""4201.328""","=""0.010""","=""5000""","=""2.25e+06""",B+,"=""51872.526""","=""54252.726""","=""3s.5s""","=""3S""","=""1""","=""3s.5p""","=""3P*""","=""2""",,"=""T6298c72,LS""","=""L6692""",
Zn,1,"=""4201.28""","=""0.03""","=""4201.282""","=""0.014""","=""43""","=""""",,"=""68834.017""","=""71214.2430""","=""3d10.4s.4f""","=""3F*""","=""4""","=""3d10.4s.6d""","=""3D""","=""3""",,"=""""","=""L18676""",
C,1,"=""4202.276""","=""0.019""","=""4202.263""","=""0.004""","=""1900bl""","=""1.5e+05""",D+,"=""84103.1238""","=""86482.794""","=""2s2.2p.4d""","=""3P*""","=""2""","=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""T9787""","=""L9405c188""",
C,1,"=""4202.478""","=""0.003""","=""4202.4772""","=""0.0025""","=""4200""","=""1.3e+06""",C,"=""84103.1238""","=""86482.6727""","=""2s2.2p.4d""","=""3P*""","=""2""","=""2s2.2p.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""T9787""","=""L12175c183""",
Zn,1,"=""4203.25""","=""0.08""","=""4203.241""","=""0.023""","=""20""","=""""",,"=""68833.858""","=""71212.9743""","=""3d10.4s.4f""","=""3F*""","=""3""","=""3d10.4s.6d""","=""3D""","=""2""",,"=""""","=""L18676""",
Zn,1,"=""4204.64""","=""0.06""","=""4204.629""","=""0.019""","=""15""","=""""",,"=""68833.807""","=""71212.1380""","=""3d10.4s.4f""","=""3F*""","=""2""","=""3d10.4s.6d""","=""3D""","=""1""",,"=""""","=""L18676""",
Fe,1,"=""4204.836""","=""0.005""","=""4204.838""","=""0.006""","=""4900""","=""""",,"=""54124.744""","=""56502.957""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""4""","=""3d6.4s.(6D).6p""","=""7F*""","=""5""",,"=""""","=""L11631""",
Mg,1,"=""4205.931""","=""0.010""","=""4205.993""","=""0.010""","=""3150""","=""2.24e+06""",B+,"=""51872.526""","=""54250.086""","=""3s.5s""","=""3S""","=""1""","=""3s.5p""","=""3P*""","=""1""",,"=""T6298c72,LS""","=""L6692""",
C,1,"=""4206.479""","=""0.019""","=""4206.458""","=""0.019""","=""7200u""","=""1.0e+06""",D+,"=""84121.2260""","=""86498.523""","=""2s2.2p.4d""","=""3P*""","=""0""","=""2s2.2p.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""T9787""","=""L9405c188""",
Mg,1,"=""4208.214""","=""0.010""","=""4208.253""","=""0.010""","=""1000""","=""2.24e+06""",B+,"=""51872.526""","=""54248.809""","=""3s.5s""","=""3S""","=""1""","=""3s.5p""","=""3P*""","=""0""",,"=""T6298c72,LS""","=""L6692""",
Cr,1,"=""4210.463""","=""0.018""","=""4210.4630""","=""0.0020""","=""1""","=""""",,"=""31048.7488""","=""33423.7845""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""",,"=""""","=""L14866""",
Th,1,"=""4210.4983""","=""0.0016""","=""4210.49706""","=""0.00016""","=""3""","=""""",,"=""24421.05861""","=""26796.07511""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""4213.660""","=""0.005""","=""4213.7057""","=""0.0021""","=""8.e-03""","=""""",,"=""112397.186""","=""114770.394""","=""3d6.(5D).7s""","=""6D""","=""9/2""","=""3d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L18349c145""",
Ne,1,"=""4218.2976""","=""0.0005""","=""4218.298""","=""0.010""","=""140""","=""3.64e+05""",B+,"=""164285.8872""","=""166656.5114""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Xe,1,"=""4218.36""","=""0.40""","=""4218.6+""","=""0.3""","=""1""","=""""",,"=""94110.15""","=""96480.62""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L1975""",
Th,1,"=""4220.5707""","=""0.0020""","=""4220.57359""","=""0.00012""","=""1""","=""""",,"=""23521.04909""","=""25890.39529""","=""""","=""*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L9974""",
Xe,1,"=""4223.21""","=""0.30""","=""4223.24+""","=""0.03""","=""30*""","=""""",,"=""94769.465""","=""97137.316""","=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""3""","=""5p5.(2P*<3/2>).15d""","=""2[7/2]*""","=""3""",,"=""""","=""L1975""",
Xe,1,"=""4223.21""","=""0.30""","=""4223.34+""","=""0.03""","=""30*""","=""""",,"=""94769.524""","=""97137.316""","=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""4""","=""5p5.(2P*<3/2>).15d""","=""2[7/2]*""","=""3""",,"=""""","=""L1975""",
Th,1,"=""4233.0366""","=""0.0014""","=""4233.03585""","=""0.00014""","=""5""","=""""",,"=""17959.89498""","=""20322.26571""","=""6d3.(4F).7s""","=""3F""","=""4""","=""5f.6d.7s2""","=""1H*""","=""5""",,"=""""","=""L9974""",
Fe,2,"=""4236.5223""","=""0.0014""","=""4236.5198""","=""0.0011""","=""0.04""","=""""",,"=""104000.810""","=""106361.238""","=""3d6.(5D).5d""","=""6P""","=""7/2""","=""3d6.(5D).6p""","=""6D*""","=""9/2""",,"=""""","=""L18349c139""",
Xe,1,"=""4236.73""","=""0.40""","=""4236.79+""","=""0.03""","=""1""","=""""",,"=""88549.775""","=""90910.052""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L1975""",
V,1,"=""4238.2524""","=""0.0010""","=""4238.2507""","=""0.0016""","=""""","=""""",,"=""39398.893""","=""41758.357""","=""3d3.4s.(5F).5s""","=""f 4F""","=""7/2""","=""3d4.(3G).4p""","=""t 4G*""","=""7/2""",,"=""""","=""L9486""",
Cr,1,"=""4238.781""","=""0.013""","=""4238.780""","=""0.003""","=""6""","=""""",,"=""36552.1351""","=""38911.3046""","=""3d5.(2F2).4s""","=""d 3F""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""""","=""L14866""",
Fe,1,"=""4240.918""","=""0.014""","=""4240.916""","=""0.003""","=""112""","=""""",,"=""51381.457""","=""53739.438""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""5""",,"=""""","=""L11631""",
Th,1,"=""4242.4519""","=""0.0020""","=""4242.45071""","=""0.00025""","=""1""","=""""",,"=""16217.482038""","=""18574.61019""","=""6d.7s2.7p""","=""1D*""","=""2""","=""6d3.(2P).7s""","=""""","=""1""",,"=""""","=""L9974""",
Fe,1,"=""4246.560""","=""0.005""","=""4246.560""","=""0.003""","=""380""","=""""",,"=""33412.717""","=""35767.564""","=""3d8""","=""c 3F""","=""3""","=""3d7.(4F).4p""","=""z 3G*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""4251.838""","=""0.005""","=""4251.836""","=""0.008""","=""1550""","=""""",,"=""54404.779""","=""56756.704""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""3""","=""3d6.4s.(6D).6p""","=""7F*""","=""4""",,"=""""","=""L11631""",
Th,1,"=""4253.3235""","=""0.0020""","=""4253.32273""","=""0.00013""","=""1""","=""""",,"=""26790.42715""","=""29141.53019""","=""""","=""*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Fe,2,"=""4256.5305""","=""0.0017""","=""4256.5291""","=""0.0011""","=""0.05""","=""""",,"=""104868.522""","=""107217.854""","=""3d6.(5D).5d""","=""6G""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Th,3,"=""4256.6226""","=""0.0016""","=""4256.6226""","=""0.0005""","=""3""","=""""",,"=""4826.82620""","=""7176.10661""","=""5f.6d""","=""*""","=""3""","=""6d.7s""","=""3D""","=""2""",,"=""""","=""L9974""",
Xe,1,"=""4257.50""","=""0.30""","=""4257.57+""","=""0.03""","=""15""","=""""",,"=""88491.020""","=""90839.777""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Th,1,"=""4267.0594""","=""0.0020""","=""4267.05868""","=""0.00015""","=""1""","=""""",,"=""25690.47345""","=""28034.00813""","=""""","=""*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Th,3,"=""4269.1656""","=""0.0009""","=""4269.1649""","=""0.0007""","=""35""","=""""",,"=""3181.5024""","=""5523.8809""","=""5f.7s""","=""3F*""","=""2""","=""6d.7s""","=""3D""","=""1""",,"=""""","=""L9974""",
Xe,1,"=""4282.09""","=""0.30""","=""4282.06+""","=""0.03""","=""30""","=""""",,"=""88469.213""","=""90804.538""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L1975""",
Ar,2,"=""4283.115""","=""0.006""","=""4283.116""","=""0.007""","=""5""","=""""",,"=""208143.0731""","=""210477.822""","=""3s2.3p4.(3P).6d""","=""4F""","=""7/2""","=""3s2.3p4.(3P<2>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Cr,1,"=""4285.133""","=""0.004""","=""4285.133""","=""0.003""","=""49""","=""""",,"=""36577.6545""","=""38911.3046""","=""3d5.(2F2).4s""","=""d 3F""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""4286.395""","=""0.003""","=""4286.3928""","=""0.0017""","=""2.0e-02""","=""""",,"=""104705.411""","=""107038.375""","=""3d6.(5D).5d""","=""6D""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4292.566""","=""0.015""","=""4292.570""","=""0.003""","=""195""","=""""",,"=""29356.744""","=""31686.351""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""",,"=""""","=""L11631""",
V,1,"=""4294.7318""","=""0.0010""","=""4294.7302""","=""0.0015""","=""""","=""""",,"=""34747.128""","=""37075.563""","=""3d3.(4F).4s.4p.(1P*)""","=""v 4D*""","=""7/2""","=""3d5""","=""e 4F""","=""9/2""",,"=""""","=""L9486""",
Ar,2,"=""4298.908""","=""0.004""","=""4298.9042""","=""0.0013""","=""10""","=""""",,"=""192556.9179""","=""194883.0921""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Th,1,"=""4299.7186""","=""0.0020""","=""4299.71626""","=""0.00011""","=""1""","=""""",,"=""22338.99484""","=""24664.72970""","=""5f.6d2.7s""","=""5G*""","=""3""","=""5f.6d.7s.7p""","=""5F""","=""3""",,"=""""","=""L9974""",
Fe,1,"=""4300.372""","=""0.006""","=""4300.371""","=""0.004""","=""790""","=""""",,"=""54864.831""","=""57190.212""","=""3d6.4s.(6D).6s""","=""5D""","=""3""","=""3d6.4s.(6D).6p""","=""7P*""","=""2""",,"=""""","=""L11631""",
Xe,1,"=""4300.99""","=""0.40""","=""4301.82+""","=""0.03""","=""1""","=""""",,"=""92444.927""","=""94769.524""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).6f""","=""2[7/2]""","=""4""",,"=""""","=""L1975""",
Fe,2,"=""4303.1484""","=""0.0004""","=""4303.1463""","=""0.0011""","=""0.18bl(Fe II)*""","=""""",,"=""104839.990""","=""107163.871""","=""3d6.(3F2).4d""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""4303.1484""","=""0.0004""","=""4303.1574""","=""0.0011""","=""0.18bl(Fe II)*""","=""""",,"=""104873.232""","=""107197.107""","=""3d6.(5D).5d""","=""4D""","=""7/2""","=""3d6.(5D).6p""","=""6P*""","=""7/2""",,"=""""","=""L18349c148""",
Fe,1,"=""4307.240""","=""0.006""","=""4307.241""","=""0.010""","=""347""","=""""",,"=""54611.710""","=""56933.382""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""2""","=""3d6.4s.(6D).6p""","=""7D*""","=""2""",,"=""""","=""L11631""",
Th,1,"=""4307.7008""","=""0.0013""","=""4307.69947""","=""0.00007""","=""15""","=""""",,"=""10526.544406""","=""12847.96912""","=""5f.6d.7s2""","=""3G*""","=""3""","=""6d3.(4P).7s""","=""5P""","=""3""",,"=""""","=""L9974""",
Fe,1,"=""4311.326""","=""0.006""","=""4311.326""","=""0.004""","=""3630""","=""""",,"=""53800.859""","=""56120.331""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""5""","=""3d6.4s.(6D).6p""","=""7D*""","=""5""",,"=""""","=""L11631""",
Th,1,"=""4312.3311""","=""0.0013""","=""4312.33097""","=""0.00007""","=""9""","=""""",,"=""12847.96912""","=""15166.900593""","=""6d3.(4P).7s""","=""5P""","=""3""","=""6d2.7s.7p""","=""5G*""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""4312.6292""","=""0.0006""","=""4312.6313""","=""0.0007""","=""0.11""","=""""",,"=""105211.079""","=""107529.849""","=""3d6.(5D).5d""","=""4G""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""7/2""",,"=""""","=""L18349c139""",
Th,1,"=""4313.8677""","=""0.0011""","=""4313.86642""","=""0.00009""","=""25""","=""""",,"=""13175.113345""","=""15493.21943""","=""5f.6d.7s2""","=""3G*""","=""4""","=""6d3.(2H).7s""","=""3H""","=""4""",,"=""""","=""L9974""",
Fe,2,"=""4316.7293""","=""0.0012""","=""4316.7306""","=""0.0011""","=""0.06""","=""""",,"=""105288.559""","=""107605.127""","=""3d6.(5D).5d""","=""6G""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c139""",
Cr,1,"=""4317.029""","=""0.019""","=""4317.029""","=""0.003""","=""3""","=""""",,"=""31355.1192""","=""33671.5273""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""""","=""L14866""",
Ar,2,"=""4318.7767""","=""0.0006""","=""4318.7769""","=""0.0007""","=""33""","=""""",,"=""200151.7014""","=""202467.1718""","=""3s2.3p4.(3P).5d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Fe,1,"=""4321.399""","=""0.006""","=""4321.398""","=""0.003""","=""1780""","=""""",,"=""33765.306""","=""36079.372""","=""3d8""","=""c 3F""","=""2""","=""3d7.(4F).4p""","=""z 3G*""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4334.082""","=""0.004""","=""4334.0803""","=""0.0021""","=""26""","=""""",,"=""31364.2327""","=""33671.5273""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""4334.406""","=""0.004""","=""4334.4045""","=""0.0011""","=""1.7e-02""","=""""",,"=""104507.058""","=""106814.180""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4336.4040""","=""0.0007""","=""4336.4044""","=""0.0008""","=""0.09""","=""""",,"=""105065.627""","=""107371.685""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
